"Category","Previously treated pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)","New pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)"
2015,12.66,5.81,19.51,5.12,2.67,7.56
2016,12.6,6.35,18.84,4.54,2.5,6.58
2017,12.43,6.36,18.5,3.95,2.29,5.6
2018,12.28,6.32,18.25,3.43,2.09,4.78
2019,12.15,6.33,17.98,3.01,1.89,4.14
2020,12.05,6.34,17.75,2.68,1.75,3.61
2021,11.96,6.17,17.74,2.43,1.58,3.28
2022,11.92,6,17.83,2.24,1.44,3.04
2023,11.92,5.77,18.06,2.09,1.32,2.85
2024,11.88,5.7,18.05,1.96,1.23,2.69
