"Category","Previously treated pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)","New pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)"
2015,16.91,1.83,31.98,4.19,2.04,6.35
2016,14.85,3.15,26.55,3.84,2.04,5.64
2017,12.99,4.42,21.56,3.53,1.9,5.17
2018,11.53,4.29,18.77,3.24,1.76,4.73
2019,10.22,4.25,16.2,2.98,1.62,4.33
2020,9.03,3.91,14.16,2.74,1.48,4
2021,8,3.47,12.53,2.53,1.35,3.71
2022,7.1,2.93,11.27,2.33,1.24,3.43
2023,6.35,2.65,10.04,2.16,1.15,3.17
2024,5.63,2.35,8.91,2,1.05,2.95
