"Category","Previously treated pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)","New pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)"
2015,58.62,19.87,97.38,21.77,14.03,29.5
2016,57.86,20.82,94.89,21.75,14.18,29.33
2017,57.21,21.98,92.44,21.9,14.56,29.23
2018,56.32,23.28,89.36,21.93,14.92,28.93
2019,55.54,24.67,86.4,22.01,15.27,28.75
2020,55.81,24.05,87.57,23.05,15.84,30.27
2021,54.92,23.34,86.51,23.3,15.75,30.85
2022,52.96,20.68,85.25,22.74,15.13,30.35
2023,52.01,19.73,84.29,22.4,14.71,30.08
2024,51.16,17.91,84.41,22.54,14.35,30.73
