"Category","Estimated TB incidence per 100 000 population","Uncertainty interval (low)","Uncertainty interval (high)","New and relapse TB cases notified per 100 000 population"
2010,275.5,141.7,452.9,114.8
2011,268.4,162.2,400.7,113.3
2012,259.2,163.6,376.3,110.6
2013,250.8,163.3,356.5,107.5
2014,245.8,186.8,312.8,129.4
2015,239.5,193.9,289.8,132.5
2016,229.6,200.8,260.4,137.9
2017,221.9,201.1,243.6,130.4
2018,214.5,194.7,235.2,145.6
2019,208.9,189.3,229.5,160.3
2020,204.3,181.2,228.8,122.7
2021,204.4,181.2,228.9,141.7
2022,207,183.1,232.3,157.7
2023,205.1,181.2,230.5,166.5
2024,201,177.3,226.2,171.1
