year,region,level,measure,rate,ci_low,ci_high
2017,Africa,Regional,Incidence,237.74468085106383,145.14893617021278,408.51063829787233
2018,Africa,Regional,Incidence,227.2340425531915,141.19148936170214,386.2340425531915
2019,Africa,Regional,Incidence,217.36170212765958,136.69574468085105,366.06382978723406
2020,Africa,Regional,Incidence,206.96808510638297,129.82978723404256,346.6170212765957
2021,Africa,Regional,Incidence,201.89148936170213,125.45106382978723,338.21276595744683
2022,Africa,Regional,Incidence,198.72340425531914,122.46808510638297,333.4468085106383
2023,Africa,Regional,Incidence,193.5531914893617,117.93617021276596,326.6170212765957
2017,Africa,Regional,Mortality,63.04255319148936,40.797872340425535,90.71489361702129
2018,Africa,Regional,Mortality,57.327659574468086,37.41914893617022,81.86595744680851
2019,Africa,Regional,Mortality,52.06170212765958,34.36978723404255,73.86808510638298
2020,Africa,Regional,Mortality,51.10148936170213,33.17255319148936,73.23957446808511
2021,Africa,Regional,Mortality,47.25042553191489,30.302340425531916,67.9331914893617
2022,Africa,Regional,Mortality,40.621702127659574,25.46744680851064,59.124255319148936
2023,Africa,Regional,Mortality,37.140638297872336,23.16829787234043,54.3327659574468
2017,Americas,Regional,Incidence,32.15111111111111,26.164444444444445,38.766666666666666
2018,Americas,Regional,Incidence,31.241333333333337,25.435777777777776,37.66511111111111
2019,Americas,Regional,Incidence,30.233333333333334,24.58,36.45333333333333
2020,Americas,Regional,Incidence,27.182000000000002,22.11422222222222,32.724444444444444
2021,Americas,Regional,Incidence,27.387555555555558,22.206444444444443,33.254666666666665
2022,Americas,Regional,Incidence,29.471111111111114,23.783555555555555,36.34444444444444
2023,Americas,Regional,Incidence,31.333777777777776,25.364888888888892,39.094
2017,Americas,Regional,Mortality,3.4197777777777776,2.819777777777778,4.104222222222222
2018,Americas,Regional,Mortality,3.234,2.679777777777778,3.838888888888889
2019,Americas,Regional,Mortality,3.2260000000000004,2.654888888888889,3.8346666666666667
2020,Americas,Regional,Mortality,3.1415555555555557,2.6053333333333337,3.758888888888889
2021,Americas,Regional,Mortality,3.3084444444444445,2.718444444444444,3.9991111111111115
2022,Americas,Regional,Mortality,3.2946666666666666,2.682444444444444,3.9602222222222223
2023,Americas,Regional,Mortality,3.2520000000000002,2.626,4.020666666666667
2017,Eastern Mediterranean,Regional,Incidence,72.86863636363637,53.61227272727273,104.42272727272729
2018,Eastern Mediterranean,Regional,Incidence,71.38227272727273,52.43363636363636,102.21363636363635
2019,Eastern Mediterranean,Regional,Incidence,69.23272727272727,50.8890909090909,99.39772727272727
2020,Eastern Mediterranean,Regional,Incidence,65.97681818181819,48.32681818181818,95.67727272727274
2021,Eastern Mediterranean,Regional,Incidence,67.66863636363637,49.41045454545454,98.16
2022,Eastern Mediterranean,Regional,Incidence,70.56090909090909,51.426818181818184,102.06863636363636
2023,Eastern Mediterranean,Regional,Incidence,70.72090909090909,51.51545454545454,102.79954545454547
2017,Eastern Mediterranean,Regional,Mortality,11.860909090909091,8.399090909090908,16.01181818181818
2018,Eastern Mediterranean,Regional,Mortality,11.426363636363636,8.06090909090909,15.427272727272726
2019,Eastern Mediterranean,Regional,Mortality,10.554545454545455,7.407272727272727,14.299090909090909
2020,Eastern Mediterranean,Regional,Mortality,10.939545454545454,7.608181818181818,14.82409090909091
2021,Eastern Mediterranean,Regional,Mortality,11.101363636363637,7.698181818181819,15.22272727272727
2022,Eastern Mediterranean,Regional,Mortality,11.534545454545453,8.013636363636364,15.896818181818183
2023,Eastern Mediterranean,Regional,Mortality,11.892727272727273,8.133181818181818,16.38090909090909
2017,Europe,Regional,Incidence,30.51666666666667,24.607407407407408,37.025925925925925
2018,Europe,Regional,Incidence,28.203703703703702,22.933333333333334,34.33888888888889
2019,Europe,Regional,Incidence,27.244444444444444,22.098148148148148,32.98148148148148
2020,Europe,Regional,Incidence,25.383333333333333,20.48333333333333,30.72962962962963
2021,Europe,Regional,Incidence,22.53518518518519,18.122222222222224,27.453703703703702
2022,Europe,Regional,Incidence,23.690925925925924,18.904444444444444,28.89074074074074
2023,Europe,Regional,Incidence,22.845555555555556,18.201851851851853,27.955555555555552
2017,Europe,Regional,Mortality,2.6598148148148146,2.341111111111111,3.0305555555555554
2018,Europe,Regional,Mortality,2.457777777777778,2.173888888888889,2.782037037037037
2019,Europe,Regional,Mortality,2.3494444444444444,2.042777777777778,2.6803703703703707
2020,Europe,Regional,Mortality,2.323703703703704,1.9953703703703705,2.711666666666667
2021,Europe,Regional,Mortality,2.0687037037037035,1.7625925925925925,2.409259259259259
2022,Europe,Regional,Mortality,2.185,1.8327777777777778,2.5857407407407407
2023,Europe,Regional,Mortality,2.0992592592592594,1.7272222222222222,2.525925925925926
2017,Global,Global,Incidence,105.87175609756098,72.07595121951219,162.70048780487804
2018,Global,Global,Incidence,105.88619512195122,73.26853658536585,160.2972195121951
2019,Global,Global,Incidence,99.73619512195121,69.10712195121951,150.7758536585366
2020,Global,Global,Incidence,93.72917073170731,64.62648780487805,141.98975609756098
2021,Global,Global,Incidence,90.25341463414634,61.61521951219512,137.556
2022,Global,Global,Incidence,90.92073170731707,61.79434146341463,138.47224390243903
2023,Global,Global,Incidence,95.16302439024389,65.11273170731708,143.76556097560976
2017,Global,Global,Mortality,20.68141463414634,14.006146341463415,28.91829268292683
2018,Global,Global,Mortality,19.861073170731707,13.543073170731708,27.596682926829267
2019,Global,Global,Mortality,17.730878048780486,12.185414634146342,24.521219512195124
2020,Global,Global,Mortality,17.228731707317074,11.730048780487804,23.986146341463414
2021,Global,Global,Mortality,16.288731707317073,11.014585365853657,22.720341463414634
2022,Global,Global,Mortality,14.550829268292683,9.728048780487805,20.403268292682927
2023,Global,Global,Mortality,14.41580487804878,9.623658536585365,20.27190243902439
2017,Western Pacific,Regional,Incidence,157.61891891891892,115.34864864864863,219.25405405405405
2018,Western Pacific,Regional,Incidence,176.4162162162162,131.01351351351352,240.8108108108108
2019,Western Pacific,Regional,Incidence,158.7864864864865,116.84594594594596,218.8081081081081
2020,Western Pacific,Regional,Incidence,147.07027027027027,107.62162162162163,204.86486486486487
2021,Western Pacific,Regional,Incidence,137.16216216216216,99.1891891891892,193.63513513513513
2022,Western Pacific,Regional,Incidence,138.94324324324324,99.71216216216216,196.58648648648648
2023,Western Pacific,Regional,Incidence,167.88864864864865,122.90405405405404,232.17621621621623
2017,Western Pacific,Regional,Mortality,19.411621621621624,13.937027027027026,26.055405405405406
2018,Western Pacific,Regional,Mortality,22.905135135135136,16.27864864864865,31.006486486486487
2019,Western Pacific,Regional,Mortality,18.47810810810811,13.240270270270269,24.95054054054054
2020,Western Pacific,Regional,Mortality,16.82702702702703,12.248108108108108,22.518648648648647
2021,Western Pacific,Regional,Mortality,16.583783783783783,12.078648648648649,22.15810810810811
2022,Western Pacific,Regional,Mortality,14.964594594594596,10.845945945945946,19.89891891891892
2023,Western Pacific,Regional,Mortality,18.60243243243243,13.33972972972973,24.983513513513515
