"Category","Estimated TB incidence per 100 000 population","Uncertainty interval (low)","Uncertainty interval (high)","New and relapse TB cases notified per 100 000 population"
2010,345.2,284.2,412.1,158.1
2011,334.7,280,394.1,153.5
2012,323.1,266.4,385.2,145
2013,309.6,257.4,366.6,139.5
2014,299.8,250.3,353.7,132.3
2015,286.4,241.4,335.2,128.2
2016,268.2,229.7,309.6,122.7
2017,257,220.9,295.8,123.7
2018,247.2,213,283.8,125.7
2019,237.6,205,272.5,124.9
2020,228.9,197,263.1,119.1
2021,223.2,191.6,257.1,125.5
2022,217.7,186.5,251.3,144.7
2023,211.9,181.1,245.1,152.1
2024,206.8,176.6,239.3,152.3
