"Category","Estimated TB incidence per 100 000 population","Uncertainty interval (low)","Uncertainty interval (high)","New and relapse TB cases notified per 100 000 population"
2010,128.5,94.9,167.2,64.6
2011,126,92.4,164.6,63.4
2012,124.3,90.9,162.9,62.6
2013,122.8,89.7,161,64.6
2014,119.8,88.1,156.3,66.1
2015,118.6,88.9,152.4,67.6
2016,117,92,145.1,72.2
2017,115.7,90.8,143.5,72.1
2018,114.6,90,142.1,71.2
2019,113.5,89.2,140.5,66.2
2020,110.6,85.8,138.5,55.3
2021,113.8,87.7,143.2,63.9
2022,115.3,88.9,145.1,74.6
2023,112.4,87,140.9,78.8
2024,111.6,86.3,139.9,80.6
