"Category","Estimated TB incidence per 100 000 population","Uncertainty interval (low)","Uncertainty interval (high)","New and relapse TB cases notified per 100 000 population"
2010,48.1,39.2,57.9,36.7
2011,46.1,38.1,55,35
2012,42.2,35,50.2,33.1
2013,40.3,33.7,47.6,32.8
2014,37.5,31.5,44.1,30
2015,35.5,30,41.4,29
2016,33.3,28.4,38.6,27.4
2017,31.1,26.8,35.8,25.8
2018,29.2,25.5,33.2,24.4
2019,27.2,24.1,30.5,23.1
2020,25.3,22.2,28.6,17.5
2021,25,21.9,28.3,17.7
2022,23.4,20.3,26.7,18.2
2023,23.1,20.1,26.4,18.3
2024,21.7,18.7,25,17.2
