"Category","Estimated TB incidence per 100 000 population","Uncertainty interval (low)","Uncertainty interval (high)","New and relapse TB cases notified per 100 000 population"
2010,168.6,133.7,207.6,82.9
2011,165.7,138.1,195.8,82.4
2012,161.5,136.4,188.7,80.7
2013,157,133.9,181.8,78.9
2014,153.6,137.1,171,82.5
2015,149.8,136.3,164,82.8
2016,144.6,134.5,155.1,84.4
2017,140.9,132.1,150,83.4
2018,137.5,128.9,146.3,89.4
2019,134.2,125.8,142.8,91.5
2020,131.2,122.3,140.3,74.3
2021,131.9,122.8,141.3,81.2
2022,134.2,124.7,144.1,93.7
2023,133.8,124.2,143.6,101.5
2024,131.4,122,141.2,102.4
