"Category","Previously treated pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)","New pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)"
2015,11.84,5.85,17.83,3.72,2.04,5.39
2016,11.5,5.35,17.65,3.65,2.1,5.2
2017,11.19,4.76,17.61,3.59,2.12,5.06
2018,10.95,4.14,17.76,3.56,2.16,4.96
2019,10.71,3.48,17.93,3.53,2.17,4.88
2020,10.57,2.81,18.33,3.55,2.18,4.93
2021,10.43,2.22,18.65,3.55,2.18,4.93
2022,10.37,1.58,19.16,3.59,2.18,5
2023,10.25,1.06,19.45,3.58,2.14,5.02
2024,10.13,0.48,19.77,3.55,2.1,5.01
