"Category","Estimated TB incidence per 100 000 population","Uncertainty interval (low)","Uncertainty interval (high)","New and relapse TB cases notified per 100 000 population"
2010,33.8,31.5,36.2,23.1
2011,33.4,31.1,35.8,23.5
2012,32.3,30,34.6,23.2
2013,31.2,29,33.5,23
2014,30.2,28,32.4,22.5
2015,29.7,27.6,31.9,22.6
2016,29.6,27.5,31.8,22.7
2017,30,27.9,32.2,23.3
2018,30.3,28.1,32.6,23.6
2019,30.1,28,32.4,23.6
2020,28.9,26.8,31.1,19.5
2021,30.2,27.9,32.7,21
2022,31.8,29,34.7,23.5
2023,32.9,29.9,36.1,25.6
2024,33.5,30.5,36.6,25
