"Category","Previously treated pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)","New pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)"
2015,11.87,0.54,23.2,3.07,1.16,4.97
2016,11.92,0.96,22.89,3.12,1.32,4.91
2017,11.98,1.1,22.87,3.16,1.4,4.92
2018,12.04,1.11,22.98,3.21,1.44,4.98
2019,12.1,1.1,23.11,3.26,1.47,5.05
2020,12.17,1.01,23.33,3.32,1.48,5.16
2021,12.25,1.02,23.48,3.39,1.53,5.25
2022,12.33,1.04,23.63,3.47,1.59,5.35
2023,12.42,1.06,23.78,3.53,1.63,5.43
2024,12.5,1.05,23.94,3.59,1.67,5.51
