"Category","Previously treated pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)","New pulmonary bacteriologically confirmed cases","Uncertainty interval (low)","Uncertainty interval (high)"
2015,23.62,13.35,33.89,5.23,3.35,7.1
2016,22.71,12.93,32.48,4.91,3.17,6.64
2017,21.86,12.44,31.29,4.62,2.99,6.25
2018,21.04,12.02,30.06,4.35,2.83,5.88
2019,20.24,11.67,28.81,4.1,2.68,5.53
2020,19.5,11.09,27.91,3.89,2.51,5.26
2021,18.82,11.01,26.63,3.65,2.39,4.92
2022,18.2,10.92,25.48,3.43,2.26,4.6
2023,17.5,10.58,24.43,3.25,2.15,4.35
2024,16.8,10.24,23.36,3.08,2.04,4.13
